Company Name,Employee Satisfaction Rating (1-5),Work-Life Balance (1-5),Average Working Hours,Remote Work Availability,Average Salary (USD),Diversity and Inclusion Score (1-5),Job Security (1-5),Learning Opportunities (1-5),Office Environment Score (1-5)
Company_4,4,4,38,Yes,71798,5,5,3,3
Company_1,5,4,43,Yes,103269,3,5,5,3
Company_9,5,3,45,Yes,113653,5,3,3,5
Company_8,4,3,38,Yes,113092,5,5,4,3
Company_8,5,5,44,Yes,78016,3,5,5,4
Company_5,3,5,48,Yes,102565,5,4,5,4
Company_4,5,4,40,Yes,57685,3,5,3,4
Company_18,3,3,49,Yes,71579,4,3,4,3
Company_3,3,5,35,No,99672,5,3,3,4
Company_19,5,4,43,Yes,50282,5,4,3,4
Company_14,3,4,40,Yes,101173,5,3,4,5
Company_2,4,5,38,No,84760,5,3,4,5
Company_1,3,4,44,No,109638,4,5,3,4
Company_3,3,3,41,Yes,87388,4,5,4,5
Company_7,3,4,39,Yes,105444,3,3,3,5
Company_8,4,3,46,No,141303,5,4,5,4
Company_17,4,3,40,Yes,145748,5,4,3,3
Company_20,4,5,35,No,122845,4,5,5,3
Company_1,5,5,45,No,136752,3,3,3,4
Company_18,4,5,50,Yes,144163,4,5,4,3
Company_7,3,4,35,Yes,113788,4,4,5,5
Company_18,4,5,38,Yes,70289,3,3,4,4
Company_14,4,5,46,No,74890,5,5,5,3
Company_8,3,4,44,No,88890,5,5,5,3
Company_15,5,5,42,No,78534,4,4,3,5
Company_19,4,4,36,No,57665,4,5,3,4
Company_9,5,4,42,No,125914,4,4,3,4
Company_1,5,3,37,Yes,146434,3,4,3,5
Company_6,5,3,37,Yes,121066,3,3,4,4
Company_14,3,5,50,Yes,57989,4,3,3,4
Company_11,5,4,37,No,148038,5,5,3,5
Company_9,5,3,39,No,91104,5,4,5,5
Company_5,3,3,39,Yes,57492,3,4,4,3
Company_7,5,3,50,Yes,56572,3,3,4,4
Company_11,5,3,40,Yes,126569,5,3,5,5
Company_4,3,5,43,Yes,112493,3,4,5,3
Company_3,3,3,48,No,115909,5,3,3,4
Company_13,4,5,41,Yes,119615,4,5,4,3
Company_4,4,4,41,No,70635,3,4,3,5
Company_12,4,5,44,Yes,57455,4,3,5,4
Company_12,5,3,47,No,116562,3,5,3,3
Company_20,5,4,46,No,60500,3,4,4,5
Company_9,5,4,49,Yes,74356,4,5,3,5
Company_2,3,5,49,Yes,58981,4,5,4,5
Company_15,5,4,38,No,127992,3,4,3,5
Company_18,4,5,42,Yes,58907,4,5,3,5
Company_4,3,4,42,Yes,138501,5,3,4,5
Company_13,3,5,37,Yes,80828,5,3,4,5
Company_3,3,3,45,Yes,102923,4,3,4,3
Company_18,4,5,35,Yes,65713,5,5,3,4
